EDUID,Student Name,Course ID,Section ID,Math Scale Score,Math Performance Level,ELA Scale Score,ELA Performance Level
959FAKE34,Emma Wilson,BUZZ-ELA-8,SEC-02,675,Basic,722,Proficient
619FAKE47,Isabella Martin,BUZZ-MATH-7,SEC-02,728,Proficient,738,Proficient
230FAKE63,Hannah Shah,BUZZ-SCI-7,SEC-03,643,Below Basic,649,Below Basic
930FAKE35,Ryan Garcia,BUZZ-SCI-7,SEC-03,683,Basic,662,Basic
426FAKE55,Noah Singh,BUZZ-ELA-8,SEC-02,641,Below Basic,669,Basic
907FAKE23,Lucy Hall,BUZZ-MATH-8,SEC-01,721,Proficient,775,Advanced
267FAKE90,Paisley Mitchell,BUZZ-MATH-7,SEC-01,757,Proficient,749,Proficient
265FAKE67,Aurora Carter,BUZZ-MATH-8,SEC-02,739,Proficient,733,Proficient
738FAKE75,Mateo Kim,BUZZ-MATH-7,SEC-01,685,Basic,743,Proficient
587FAKE22,Theodore Singh,BUZZ-SCI-7,SEC-01,779,Advanced,713,Basic
338FAKE76,Lucy Flores,BUZZ-MATH-8,SEC-01,745,Proficient,708,Basic
659FAKE99,Charlotte Clark,BUZZ-MATH-7,SEC-03,711,Basic,777,Advanced
912FAKE53,Chloe Green,BUZZ-ELA-7,SEC-02,671,Basic,633,Below Basic
224FAKE70,Logan Nelson,BUZZ-SCI-7,SEC-01,610,Below Basic,665,Basic
424FAKE97,Mateo Rodriguez,BUZZ-ELA-7,SEC-02,769,Proficient,684,Basic
809FAKE16,Riley Chen,BUZZ-MATH-8,SEC-02,800,Advanced,745,Proficient
468FAKE26,Nora Carter,BUZZ-MATH-8,SEC-03,796,Advanced,686,Basic
492FAKE81,Aurora Thompson,BUZZ-MATH-8,SEC-01,642,Below Basic,603,Below Basic
588FAKE82,Mason Ramirez,BUZZ-ELA-7,SEC-02,720,Proficient,673,Basic
134FAKE89,Aria Scott,BUZZ-MATH-7,SEC-02,642,Below Basic,713,Basic
829FAKE35,Ethan Hill,BUZZ-MATH-8,SEC-02,786,Advanced,768,Proficient
512FAKE36,Victoria Rivera,BUZZ-ELA-8,SEC-01,746,Proficient,788,Advanced
498FAKE28,Benjamin Martin,BUZZ-SCI-7,SEC-02,769,Proficient,635,Below Basic
196FAKE87,Anthony Patel,BUZZ-ELA-8,SEC-03,755,Proficient,725,Proficient
528FAKE77,Olivia Brown,BUZZ-MATH-8,SEC-02,720,Proficient,764,Proficient
985FAKE11,Eleanor Rivera,BUZZ-SCI-7,SEC-01,787,Advanced,795,Advanced
690FAKE33,Noah Kim,BUZZ-SCI-7,SEC-02,757,Proficient,740,Proficient
179FAKE83,Anthony Thomas,BUZZ-MATH-8,SEC-01,694,Basic,800,Advanced
905FAKE27,Victoria Lee,BUZZ-MATH-8,SEC-03,731,Proficient,743,Proficient
820FAKE69,Anthony Rodriguez,BUZZ-MATH-7,SEC-01,632,Below Basic,771,Advanced
585FAKE88,Isabella Ramirez,BUZZ-ELA-8,SEC-03,639,Below Basic,762,Proficient
782FAKE79,Layla Green,BUZZ-MATH-8,SEC-01,746,Proficient,773,Advanced
977FAKE74,Bella Davis,BUZZ-ELA-7,SEC-02,662,Basic,729,Proficient
632FAKE48,Olivia Taylor,BUZZ-MATH-7,SEC-03,694,Basic,604,Below Basic
998FAKE36,Victoria Flores,BUZZ-MATH-8,SEC-02,678,Basic,620,Below Basic
876FAKE45,Owen Young,BUZZ-MATH-7,SEC-01,652,Below Basic,638,Below Basic
337FAKE98,Lily Taylor,BUZZ-MATH-8,SEC-03,616,Below Basic,629,Below Basic
240FAKE44,Thomas Martin,BUZZ-ELA-8,SEC-01,711,Basic,736,Proficient
636FAKE99,Eleanor Torres,BUZZ-ELA-7,SEC-03,772,Advanced,699,Basic
539FAKE70,Aurora Johnson,BUZZ-ELA-8,SEC-02,777,Advanced,783,Advanced
558FAKE71,Penelope Ramirez,BUZZ-ELA-7,SEC-02,742,Proficient,659,Below Basic
658FAKE28,Gabriel Campbell,BUZZ-MATH-8,SEC-03,618,Below Basic,679,Basic
350FAKE46,Emily Kim,BUZZ-MATH-8,SEC-02,767,Proficient,659,Below Basic
483FAKE63,Lucy Williams,BUZZ-ELA-8,SEC-03,628,Below Basic,729,Proficient
546FAKE96,Lily Walker,BUZZ-ELA-7,SEC-01,757,Proficient,778,Advanced
449FAKE98,Natalie Nguyen,BUZZ-MATH-8,SEC-02,662,Basic,720,Proficient
260FAKE46,Gabriel Smith,BUZZ-MATH-8,SEC-03,724,Proficient,766,Proficient
352FAKE56,Daniel Mitchell,BUZZ-ELA-7,SEC-03,765,Proficient,768,Proficient
949FAKE55,Lily Adams,BUZZ-ELA-7,SEC-01,764,Proficient,636,Below Basic
216FAKE24,Aurora Hill,BUZZ-ELA-7,SEC-02,682,Basic,626,Below Basic
230FAKE90,Sophia Scott,BUZZ-MATH-7,SEC-01,679,Basic,673,Basic
188FAKE20,Stella Torres,BUZZ-ELA-7,SEC-02,685,Basic,677,Basic
699FAKE66,Aurora Mitchell,BUZZ-SCI-7,SEC-03,685,Basic,659,Below Basic
347FAKE44,Stella Shah,BUZZ-SCI-7,SEC-03,798,Advanced,781,Advanced
197FAKE82,Ava Kumar,BUZZ-ELA-8,SEC-01,703,Basic,614,Below Basic
660FAKE44,Avery Kim,BUZZ-MATH-7,SEC-02,652,Below Basic,781,Advanced
983FAKE15,Grace Johnson,BUZZ-ELA-8,SEC-01,748,Proficient,711,Basic
552FAKE61,Elizabeth Lopez,BUZZ-ELA-7,SEC-01,779,Advanced,683,Basic
182FAKE41,Noah White,BUZZ-MATH-8,SEC-03,664,Basic,789,Advanced
137FAKE29,Lily Davis,BUZZ-MATH-7,SEC-02,756,Proficient,791,Advanced
996FAKE71,Ethan Adams,BUZZ-ELA-8,SEC-03,723,Proficient,702,Basic
289FAKE89,Owen Carter,BUZZ-ELA-8,SEC-02,758,Proficient,676,Basic
174FAKE63,Mason Rivera,BUZZ-MATH-7,SEC-02,719,Basic,659,Below Basic
238FAKE18,Aiden Rodriguez,BUZZ-MATH-8,SEC-03,663,Basic,635,Below Basic
855FAKE60,Zoey Jackson,BUZZ-MATH-8,SEC-03,628,Below Basic,613,Below Basic
419FAKE54,Natalie Lee,BUZZ-MATH-8,SEC-02,673,Basic,607,Below Basic
121FAKE26,Chloe White,BUZZ-ELA-8,SEC-01,701,Basic,654,Below Basic
578FAKE80,Avery Garcia,BUZZ-MATH-8,SEC-03,721,Proficient,683,Basic
193FAKE51,Camila Lopez,BUZZ-ELA-8,SEC-02,653,Below Basic,628,Below Basic
389FAKE19,Liam Nelson,BUZZ-ELA-7,SEC-02,730,Proficient,691,Basic
649FAKE71,Aria Nguyen,BUZZ-MATH-8,SEC-01,662,Basic,709,Basic
840FAKE95,Grace Wilson,BUZZ-MATH-8,SEC-02,739,Proficient,622,Below Basic
761FAKE28,Ryan Roberts,BUZZ-ELA-8,SEC-03,776,Advanced,715,Basic
718FAKE33,Aria Young,BUZZ-MATH-7,SEC-02,685,Basic,769,Proficient
142FAKE38,Sofia Garcia,BUZZ-ELA-7,SEC-01,738,Proficient,737,Proficient
313FAKE45,Emma Nelson,BUZZ-ELA-8,SEC-02,796,Advanced,685,Basic
227FAKE57,Stella Thompson,BUZZ-MATH-8,SEC-03,727,Proficient,722,Proficient
547FAKE78,Theodore King,BUZZ-SCI-7,SEC-02,677,Basic,672,Basic
727FAKE66,David Patel,BUZZ-MATH-8,SEC-02,603,Below Basic,666,Basic
494FAKE28,Lincoln Sanchez,BUZZ-MATH-8,SEC-01,798,Advanced,651,Below Basic
845FAKE88,Emma Martinez,BUZZ-MATH-7,SEC-03,755,Proficient,611,Below Basic
308FAKE54,Logan Lee,BUZZ-ELA-7,SEC-01,671,Basic,628,Below Basic
506FAKE68,Nora Wright,BUZZ-ELA-7,SEC-01,755,Proficient,621,Below Basic
227FAKE93,Isabella Mitchell,BUZZ-MATH-7,SEC-01,718,Basic,785,Advanced
987FAKE66,Ethan Rodriguez,BUZZ-MATH-8,SEC-03,797,Advanced,696,Basic
841FAKE30,Harper Garcia,BUZZ-ELA-8,SEC-01,795,Advanced,608,Below Basic
554FAKE59,Jackson Hall,BUZZ-SCI-7,SEC-01,663,Basic,773,Advanced
185FAKE64,Scarlett Young,BUZZ-ELA-7,SEC-03,782,Advanced,664,Basic
876FAKE48,Aurora Baker,BUZZ-MATH-8,SEC-01,791,Advanced,790,Advanced
486FAKE77,Nora Baker,BUZZ-MATH-7,SEC-01,797,Advanced,796,Advanced
592FAKE91,Leo Taylor,BUZZ-MATH-8,SEC-03,790,Advanced,627,Below Basic
812FAKE51,Luke Moore,BUZZ-MATH-7,SEC-02,693,Basic,767,Proficient
192FAKE90,Abigail Rodriguez,BUZZ-MATH-8,SEC-01,775,Advanced,792,Advanced
232FAKE10,Emma Jones,BUZZ-MATH-8,SEC-03,760,Proficient,756,Proficient
510FAKE18,Aiden Anderson,BUZZ-MATH-8,SEC-01,650,Below Basic,692,Basic
786FAKE59,Alexander Nelson,BUZZ-ELA-7,SEC-02,658,Below Basic,701,Basic
389FAKE39,Lily Anderson,BUZZ-MATH-7,SEC-01,683,Basic,654,Below Basic
717FAKE69,Ethan Jackson,BUZZ-MATH-8,SEC-03,763,Proficient,702,Basic
299FAKE97,Mateo Kumar,BUZZ-ELA-7,SEC-03,624,Below Basic,775,Advanced
644FAKE92,Avery Sanchez,BUZZ-MATH-8,SEC-01,760,Proficient,684,Basic
588FAKE46,Ella Singh,BUZZ-SCI-7,SEC-03,737,Proficient,672,Basic
650FAKE24,Sebastian Lee,BUZZ-ELA-7,SEC-03,612,Below Basic,717,Basic
124FAKE30,John Kim,BUZZ-MATH-7,SEC-01,772,Advanced,790,Advanced
946FAKE46,Daniel Robinson,BUZZ-MATH-7,SEC-01,607,Below Basic,671,Basic
672FAKE34,Natalie Robinson,BUZZ-ELA-8,SEC-01,631,Below Basic,690,Basic
206FAKE53,Isabella Lopez,BUZZ-MATH-7,SEC-02,721,Proficient,721,Proficient
393FAKE89,Olivia Kumar,BUZZ-MATH-8,SEC-02,678,Basic,729,Proficient
229FAKE51,Gabriel Baker,BUZZ-ELA-7,SEC-02,790,Advanced,781,Advanced
899FAKE21,Anthony White,BUZZ-ELA-8,SEC-03,624,Below Basic,792,Advanced
709FAKE85,Christopher Thompson,BUZZ-ELA-8,SEC-02,696,Basic,732,Proficient
863FAKE37,Aurora Harris,BUZZ-SCI-7,SEC-02,749,Proficient,692,Basic
989FAKE91,Daniel Miller,BUZZ-MATH-8,SEC-03,614,Below Basic,782,Advanced
519FAKE15,Alexander Jackson,BUZZ-ELA-7,SEC-02,717,Basic,717,Basic
592FAKE54,Jack Chen,BUZZ-MATH-8,SEC-01,726,Proficient,746,Proficient
636FAKE94,Ava Nelson,BUZZ-ELA-7,SEC-02,783,Advanced,749,Proficient
624FAKE51,Skylar Wright,BUZZ-ELA-8,SEC-01,755,Proficient,796,Advanced
866FAKE24,Paisley Roberts,BUZZ-MATH-8,SEC-02,657,Below Basic,756,Proficient
872FAKE62,Aurora Nelson,BUZZ-MATH-7,SEC-02,797,Advanced,795,Advanced
850FAKE38,Sebastian Ramirez,BUZZ-SCI-7,SEC-01,626,Below Basic,713,Basic
353FAKE66,Bella Campbell,BUZZ-MATH-8,SEC-02,683,Basic,624,Below Basic
154FAKE14,Alexander Lopez,BUZZ-ELA-7,SEC-01,771,Advanced,694,Basic
203FAKE39,Sophia Singh,BUZZ-SCI-7,SEC-03,771,Advanced,630,Below Basic
788FAKE11,Josiah Perez,BUZZ-SCI-7,SEC-03,629,Below Basic,742,Proficient
959FAKE38,Ryan Torres,BUZZ-MATH-8,SEC-01,606,Below Basic,650,Below Basic
